-3.5	-8.827845063631779e-13
-3.0	-3.3051651031414443e-13
-2.5	9.735221226948743e-13
-2.0	3.890287886962542e-13
-1.9	-5.070193053971987e-12
-1.8	1.1931053329743389e-12
-1.7	1.6605277320033762e-12
-1.6	-2.2370152120065837e-12
-1.5	4.871920118439639e-13
-1.4	-3.0132054449838928e-12
-1.3	9.789463793033943e-13
-1.2	4.616081546030419e-12
-1.1	3.6166669756424783e-12
-1.0	-6.18148662893386e-14
-0.5	-2.5202571361694095e-13
0.0	0.4999875004176433
0.5	0.9999500033326232
1.0	0.9999200066972893
1.1	0.9998900121313045
1.2	0.9998800144340727
1.3	0.9998700169377397
1.4	0.9998600196350207
1.5	0.9998500225215092
1.6	0.9998400256229114
1.7	0.9998300289389064
1.8	0.9998200324238151
1.9	0.9998100361122022
2.0	0.9997800486930166
2.5	0.9997500633169003
3.0	0.9997000908049434
3.5	1.0012494834177779
