0.05 -15.455676489576328
0.1 -8.652394318188312
0.15 -6.483919320592533
0.2 -5.478907029230826
0.25 -4.936108898202454
0.3 -4.617373822247707
0.35 -4.419684253476938
0.4 -4.292174311245705
0.45 -4.207385449236377
0.5 -4.149586831435392
0.55 -4.109358175576775
0.6 -4.080859108945033
0.65 -4.060362604920345
0.7 -4.045430002993496
0.75 -4.0344299860138
0.8 -4.026249644765813
0.85 -4.020116353272139
0.9 -4.015485352800074
0.95 -4.0119672593234625
1.0 -4.009280376876186
1.05 -4.007218748090837
1.1 -4.0056303853061275
1.15 -4.0044022090655265
1.2 -4.003449481487371
1.25 -4.002708299563137
1.3 -4.002130201840976
1.35 -4.001678254170026
1.4 -4.001324183076907
1.45 -4.001046259325295
1.5 -4.000827723978043


